x,y,L_track,R_track
13.2196327,8.154729185,1.5,1.5
13.3615249,8.08192315,1.5,1.5
13.50212302,8.00664843,1.5,1.5
13.64138412,7.928928018,1.5,1.5
13.77926565,7.848785656,1.5,1.5
13.9157255,7.766245822,1.5,1.5
14.05072199,7.68133373,1.5,1.5
14.18421388,7.594075317,1.5,1.5
14.3161604,7.504497235,1.5,1.5
14.44652123,7.412626848,1.5,1.5
14.57525657,7.318492218,1.5,1.5
14.70232708,7.2221221,1.5,1.5
14.82769396,7.123545929,1.5,1.5
14.95131891,7.022793817,1.5,1.5
15.07316416,6.91989654,1.5,1.5
15.1931925,6.814885528,1.5,1.5
15.31136727,6.707792858,1.5,1.5
15.42765236,6.598651242,1.5,1.5
15.54201226,6.487494017,1.5,1.5
15.65441204,6.374355139,1.5,1.5
15.76481736,6.259269165,1.5,1.5
15.87319449,6.14227125,1.5,1.5
15.97951034,6.023397132,1.5,1.5
16.08373242,5.902683122,1.5,1.5
16.18582891,5.780166093,1.5,1.5
16.28576862,5.655883468,1.5,1.5
16.38352101,5.52987321,1.5,1.5
16.47905624,5.402173811,1.5,1.5
16.57234511,5.272824277,1.5,1.5
16.66335913,5.141864119,1.5,1.5
16.7520705,5.00933334,1.5,1.5
16.83845213,4.875272422,1.5,1.5
16.92247763,4.739722315,1.5,1.5
17.00412133,4.602724424,1.5,1.5
17.08335829,4.464320596,1.5,1.5
17.16016431,4.324553107,1.5,1.5
17.23451592,4.183464651,1.5,1.5
17.30639043,4.041098324,1.5,1.5
17.37576586,3.897497613,1.5,1.5
17.44262104,3.752706382,1.5,1.5
17.50693554,3.606768858,1.5,1.5
17.56868971,3.45972962,1.5,1.5
17.6278647,3.311633581,1.5,1.5
17.68444241,3.162525978,1.5,1.5
17.73840559,3.012452358,1.5,1.5
17.78973773,2.861458561,1.5,1.5
17.83842316,2.70959071,1.5,1.5
17.88444701,2.556895194,1.5,1.5
17.92779522,2.403418656,1.5,1.5
17.96845456,2.249207974,1.5,1.5
18.00641259,2.094310256,1.5,1.5
18.04165772,1.938772814,1.5,1.5
18.0741792,1.782643159,1.5,1.5
18.10396708,1.625968983,1.5,1.5
18.13101227,1.468798142,1.5,1.5
18.1553065,1.311178645,1.5,1.5
18.17684236,1.153158639,1.5,1.5
18.19561327,0.994786392,1.5,1.5
18.21161348,0.83611028,1.5,1.5
18.22483813,0.677178772,1.5,1.5
18.23528315,0.518040415,1.5,1.5
18.24294538,0.358743818,1.5,1.5
18.24782245,0.19933764,1.5,1.5
18.24991289,0.039870573,1.5,1.5
18.24921606,-0.119608673,1.5,1.5
18.24573217,-0.279051384,1.5,1.5
18.23946228,-0.438408856,1.5,1.5
18.23040831,-0.597632413,1.5,1.5
18.21857302,-0.756673418,1.5,1.5
18.20396004,-0.915483292,1.5,1.5
18.18657381,-1.074013525,1.5,1.5
18.16641966,-1.232215692,1.5,1.5
18.14350374,-1.390041469,1.5,1.5
18.11783305,-1.547442648,1.5,1.5
18.08941543,-1.704371149,1.5,1.5
18.05825956,-1.860779036,1.5,1.5
18.02437496,-2.016618535,1.5,1.5
17.98777198,-2.171842042,1.5,1.5
17.9484618,-2.326402144,1.5,1.5
17.90645642,-2.480251628,1.5,1.5
17.86176868,-2.633343501,1.5,1.5
17.81441223,-2.785630999,1.5,1.5
17.76440153,-2.937067605,1.5,1.5
17.71175187,-3.087607062,1.5,1.5
