x,y,curvature,max_speed
1.606986377677689148e+01,2.573161726565317764e+01,8.278394854710006967e-02,1.721200404490111069e+01
1.628342671047053969e+01,2.552092584828606547e+01,6.378864290168724527e-02,1.960797870986444025e+01
1.649296581035402554e+01,2.530623219300017013e+01,6.305900322494824295e-02,1.972109191543550821e+01
1.670168113708849944e+01,2.509073761676651415e+01,1.276606499765751968e-02,4.383045533656644466e+01
1.690531212872598132e+01,2.487043233030080813e+01,7.777253658166939643e-02,1.775789059848263918e+01
1.715281105036113729e+01,2.470089093774596734e+01,7.454692951650455646e-01,5.735742262599073271e+00
1.737124282938535913e+01,2.449525154970876883e+01,5.149570349342030839e-01,6.901110959605230910e+00
1.757320353799008217e+01,2.427341405923459661e+01,2.566822225499532095e-01,9.774771468108626848e+00
1.776673530762801434e+01,2.404418610687972091e+01,1.245564668992427959e-01,1.403205788703112944e+01
1.794752911096975012e+01,2.380478351567981221e+01,1.811414633700507704e-01,1.163578189444430500e+01
1.812567133576099465e+01,2.356340135447806716e+01,3.676680971313963514e-02,2.582715294155940811e+01
1.829887253188448426e+01,2.331844963339533550e+01,6.772814397529836050e-02,1.902917328105670336e+01
1.846911313298289770e+01,2.307143113664326961e+01,4.011816584597537733e-02,2.472486752464346793e+01
1.864354570507735076e+01,2.282735475967795580e+01,5.690439206204161993e-02,2.076020386986082400e+01
1.881092892637366987e+01,2.257839119361161906e+01,9.530844273901001307e-02,1.604127267728223671e+01
1.896739377274783322e+01,2.232242488362315669e+01,1.441232897191574158e-01,1.304479999159338455e+01
1.912036866297742321e+01,2.206435767733912456e+01,4.526132507576400427e-02,2.327774336897082108e+01
1.926088799573918919e+01,2.179930236778998776e+01,1.586884902039385481e-01,1.243173643056804956e+01
1.930309072338269516e+01,2.150228565145999937e+01,1.148680744383473229e+00,4.620668770759673194e+00
1.938657164378721021e+01,2.121413476055661462e+01,4.691063290074017345e-01,7.230508847375984871e+00
1.950355376786935580e+01,2.093788273315187354e+01,3.950173617702459894e-01,7.879459288657899130e+00
1.963138326392526878e+01,2.066647967506650119e+01,1.320203791776742852e-01,1.362962855101411819e+01
1.976223718529906392e+01,2.039652180564777240e+01,3.724413747151639198e-02,2.566111645155141829e+01
1.988844234854415660e+01,2.012435961729259404e+01,5.716553191066248846e-02,2.071273188960989842e+01
2.001437080599016838e+01,1.985206928767130918e+01,3.388183593830980389e-03,4.700000000000000000e+01
2.013931743575226463e+01,1.957932702891573129e+01,1.200938698318034480e-02,4.519018177709082806e+01
2.026308599189636084e+01,1.930604815210670111e+01,1.438370298988150484e-02,4.129230767519673861e+01
2.038584937975558375e+01,1.903231625662989401e+01,1.225041795371642137e-02,4.474340746619100884e+01
2.050630026331145572e+01,1.875755893707205146e+01,2.810731353106170685e-02,2.953893539377262911e+01
2.062577455284507266e+01,1.848237555432440615e+01,1.183876101894738506e-02,4.551466820160922566e+01
2.074386012390057843e+01,1.820659339770709551e+01,1.680339897440414135e-02,3.820374507011002407e+01
2.086029235706067553e+01,1.793010915750278755e+01,1.995812764759096261e-02,3.505456724629989651e+01
2.097512889121472313e+01,1.765295834941541031e+01,1.921473219723935158e-02,3.572624235944193316e+01
2.105678858267194542e+01,1.736428605287292726e+01,3.902274720526362484e-01,7.927670438352183879e+00
2.115334939445762785e+01,1.708025082684050489e+01,1.733994923449261594e-01,1.189270365543120000e+01
2.125359708143891879e+01,1.679749580698250000e+01,4.336462766989820916e-02,2.378136053751462242e+01
2.135497034667413629e+01,1.651514237403798901e+01,1.327858414537677091e-02,4.297626045568640052e+01
2.145677260113167151e+01,1.623294332905845039e+01,5.065830787920172149e-03,4.700000000000000000e+01
2.155683821008925349e+01,1.595012382141453244e+01,2.049062269838432954e-02,3.459608295093721608e+01
2.165564762387805331e+01,1.566686298799996813e+01,1.479403757812540986e-02,4.071562907890170635e+01
2.175265115952324280e+01,1.538297865579346535e+01,2.122759272720564985e-02,3.399023245631877899e+01
2.184860529479922420e+01,1.509873790585876918e+01,1.231417296363398681e-02,4.462743060579570908e+01
2.194210131424812360e+01,1.481367914990271828e+01,2.878499967370957979e-02,2.918914632041786916e+01
2.205667276276466993e+01,1.453641865292411772e+01,2.496878430085631151e-01,9.910733753844525040e+00
2.215489773352228653e+01,1.425295462501287602e+01,1.942669447478064804e-01,1.123582724140862688e+01
2.224307856518642978e+01,1.396620710379077401e+01,1.174135134562674931e-01,1.445258279581810612e+01
2.232453282537668926e+01,1.367747677373025361e+01,7.791915300686030887e-02,1.774117568144612278e+01
2.230293158302715284e+01,1.337825547380500346e+01,1.150979027837849999e+00,4.616053172667188065e+00
2.234970903791468899e+01,1.308192479750866610e+01,7.604418745332294227e-01,5.678995128722386987e+00
2.241374303734267670e+01,1.278883838206561485e+01,1.950984423755129371e-01,1.121185847156471027e+01
2.248460734902398528e+01,1.249732809180138737e+01,7.788669838193182371e-02,1.774487158361028705e+01
2.255819936432790129e+01,1.220649443610881058e+01,3.122637654482494918e-02,2.802487678520579095e+01
2.263179326131643521e+01,1.191566125656073893e+01,2.156639590771753217e-05,4.700000000000000000e+01
2.273370054808626151e+01,1.163350012368944419e+01,3.290188246465909350e-01,8.633643955288068383e+00
2.281009162357676345e+01,1.134338910427548974e+01,2.969552766119510911e-01,9.087804686484792782e+00
2.287243683059599775e+01,1.104993881008287993e+01,1.604150393027772847e-01,1.236465397161785873e+01
2.292496155235417277e+01,1.075457267525319693e+01,1.111735247534673260e-01,1.485264566822779564e+01
2.296935971386603015e+01,1.045787619186593709e+01,9.149702060974491957e-02,1.637197345334782739e+01
2.300609229132219369e+01,1.016013348791934590e+01,8.596278004052347599e-02,1.689076353348964687e+01
2.306500855651252024e+01,9.865975581862032939e+00,2.496829538755894473e-01,9.910830786215450772e+00
2.309757339818046518e+01,9.567748267406864571e+00,2.962643144146672181e-01,9.098396027075507320e+00
2.311470395729398675e+01,9.268237760171379236e+00,1.720836939934779486e-01,1.193808448247975207e+01
2.312126295840964829e+01,8.968309469567833148e+00,1.175534453941524116e-01,1.444397828357442570e+01
2.314425637256855950e+01,8.669191929284224329e+00,1.828266561316049810e-01,1.158203171820947652e+01
2.315051077941732416e+01,8.369257132378345787e+00,1.862105121337458147e-01,1.147631369388110478e+01
2.314332428969578359e+01,8.069343220787899895e+00,1.493434755194484875e-01,1.281478667646769942e+01
2.312357752915206532e+01,7.769993817167266670e+00,1.396994447412659990e-01,1.324973426043302460e+01
2.309495210411961708e+01,7.471362631518962516e+00,9.897407077768015371e-02,1.574141582915309456e+01
2.305255943340234737e+01,7.174372965925263301e+00,1.540529177302674135e-01,1.261739048659791429e+01
